Date : 2025-10-13 09:37:59
Directory : c:\Users\yjq\Desktop\myproject
Total : 81 files,  21549 codes, 261 comments, 800 blanks, all 22610 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     11,234 |          0 |          4 |     11,238 |
| Log                |          1 |      5,057 |          0 |         56 |      5,113 |
| vue                |         12 |      2,473 |         28 |        267 |      2,768 |
| Python             |         49 |      2,040 |        143 |        348 |      2,531 |
| TypeScript         |          4 |        279 |         21 |         42 |        342 |
| MS SQL             |          4 |        243 |         42 |         38 |        323 |
| Ini                |          1 |        121 |          0 |         27 |        148 |
| SCSS               |          1 |         37 |         25 |         14 |         76 |
| JSON with Comments |          2 |         26 |          0 |          0 |         26 |
| JavaScript         |          2 |         21 |          0 |          3 |         24 |
| HTML               |          1 |         18 |          2 |          1 |         21 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |         81 |     21,549 |        261 |        800 |     22,610 |
| . (Files)                                                                                                            |          1 |          8 |          0 |          0 |          8 |
| frontend-mp                                                                                                          |         25 |     14,080 |         76 |        331 |     14,487 |
| frontend-mp (Files)                                                                                                  |          6 |     11,147 |          3 |          9 |     11,159 |
| frontend-mp\src                                                                                                      |         19 |      2,933 |         73 |        322 |      3,328 |
| frontend-mp\src (Files)                                                                                              |          6 |        208 |         25 |         20 |        253 |
| frontend-mp\src\pages                                                                                                |         11 |      2,457 |         28 |        265 |      2,750 |
| frontend-mp\src\pages\error-book                                                                                     |          1 |        213 |          3 |         27 |        243 |
| frontend-mp\src\pages\index                                                                                          |          1 |        334 |          8 |         35 |        377 |
| frontend-mp\src\pages\lobby                                                                                          |          1 |        138 |          0 |         18 |        156 |
| frontend-mp\src\pages\login                                                                                          |          1 |        194 |          0 |         30 |        224 |
| frontend-mp\src\pages\practice                                                                                       |          1 |        299 |          6 |         23 |        328 |
| frontend-mp\src\pages\profile                                                                                        |          1 |        227 |          5 |         24 |        256 |
| frontend-mp\src\pages\question-bank                                                                                  |          1 |        387 |          0 |         31 |        418 |
| frontend-mp\src\pages\question-detail                                                                                |          1 |        102 |          0 |         11 |        113 |
